query,config,rouge_l_precision,rouge_l_recall,rouge_l_f1,faithfulness,latency_ms,guardrail_triggered,confidence_score
. what is a corporation?,Baseline Semantic Search,0.17142857142857143,0.2727272727272727,0.21052631578947367,0.6666666666666666,911.6635322570801,False,0.4174407720565796
why did rachel carson write an obligation to endure,Baseline Semantic Search,0.3125,0.16666666666666666,0.21739130434782608,0.07142857142857142,690.2453899383545,False,0.35490334033966064
why did the progressive movement fail to advance racial equality quizlet,Baseline Semantic Search,0.0,0.0,0.0,0.13333333333333333,535.2373123168945,False,0.417375385761261
why do police need to understand what the forensic scientists do,Baseline Semantic Search,0.0,0.0,0.0,0.47058823529411764,1112.7691268920898,False,0.560135006904602
do owls eat in the day,Baseline Semantic Search,0.041666666666666664,0.3333333333333333,0.07407407407407407,0.29411764705882354,579.5903205871582,False,0.5001516342163086
symptoms of a dying mouse,Baseline Semantic Search,0.3,0.2727272727272727,0.28571428571428564,0.23076923076923078,717.8914546966553,False,0.40478283166885376
average number of lightning strikes per day,Baseline Semantic Search,0.17391304347826086,0.5,0.25806451612903225,0.2631578947368421,578.6633491516113,False,0.36398541927337646
can you burn your lawn with fertilizer,Baseline Semantic Search,0.09090909090909091,0.5,0.15384615384615385,0.43478260869565216,586.4951610565186,False,0.5966905355453491
are volvox autotrophic or heterotrophic,Baseline Semantic Search,0.0,0.0,0.0,0.47368421052631576,973.5808372497559,False,0.5349978804588318
average force of a raindrop,Baseline Semantic Search,0.058823529411764705,0.3333333333333333,0.1,0.3333333333333333,509.6931457519531,False,0.3846510052680969
chart for foods low in potassium.,Baseline Semantic Search,0.0,0.0,0.0,0.15384615384615385,831.1684131622314,False,0.46511197090148926
are saltwater crocodiles legal pets yahoo,Baseline Semantic Search,0.0625,0.3333333333333333,0.10526315789473684,0.2727272727272727,566.8158531188965,False,0.365634560585022
dayton ohio time is what,Baseline Semantic Search,0.0,0.0,0.0,0.13333333333333333,620.6231117248535,False,0.3918086886405945
goch meaning,Baseline Semantic Search,0.3076923076923077,0.5,0.380952380952381,0.2222222222222222,456.6190242767334,False,0.40944117307662964
does drinking water help eczema,Baseline Semantic Search,0.0,0.0,0.0,0.2,490.71645736694336,False,0.4489949345588684
how much money has innocet donated to charity,Baseline Semantic Search,0.05555555555555555,0.3333333333333333,0.09523809523809525,0.15384615384615385,546.9043254852295,False,0.31738775968551636
symptoms of a gastric ulcer in women,Baseline Semantic Search,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.4166666666666667,473.5903739929199,False,0.5566312074661255
how often can ativan be taken,Baseline Semantic Search,0.06666666666666667,0.041666666666666664,0.05128205128205127,0.4166666666666667,740.943431854248,False,0.3723258972167969
how many oscars did star wars a new home win?,Baseline Semantic Search,0.058823529411764705,0.3333333333333333,0.1,0.15384615384615385,1014.7521495819092,False,0.34252870082855225
how many years did william bradford serve as governor of plymouth colony?,Baseline Semantic Search,0.4,0.8,0.5333333333333333,0.35294117647058826,640.946626663208,False,0.3166394829750061
