threshold,strategy,guardrail_trigger_rate,answered_queries,rouge_l_f1,faithfulness,confidence_mean,confidence_std
0.1,Baseline,0.0,20,0.1546742839988386,0.272059162428144,0.4260816961526871,0.0817220279290335
0.1,Hybrid,0.0,20,0.14684083796038253,0.2783080204819336,0.5861851303441707,0.0803837436393631
0.1,QueryDecomp,0.0,20,0.16294460540123507,0.2682373418354876,0.45837226808071135,0.10368942917460136
0.2,Baseline,0.0,20,0.15330699279341042,0.26145620044116286,0.4260816961526871,0.0817220279290335
0.2,Hybrid,0.0,20,0.1444171505366951,0.2666651677393366,0.5861851303441707,0.0803837436393631
0.2,QueryDecomp,0.0,20,0.1566189168820748,0.27118160538927133,0.4551385521888733,0.10266358581554677
0.3,Baseline,0.0,20,0.15940067678330763,0.273660098257021,0.4260816961526871,0.0817220279290335
0.3,Hybrid,0.0,20,0.1510075046270492,0.28406281910757614,0.5861851303441707,0.0803837436393631
0.3,QueryDecomp,0.0,20,0.14844057374309477,0.26041180091837984,0.45674183666706086,0.10254095818780254
0.4,Baseline,0.45,11,0.15634414318624845,0.31816682311577354,0.4260816961526871,0.0817220279290335
0.4,Hybrid,0.0,20,0.1517025318220764,0.27678915039209157,0.5861851303441707,0.0803837436393631
0.4,QueryDecomp,0.35,13,0.12596184134645672,0.3249741284356669,0.4609076201915741,0.10186191653599323
0.5,Baseline,0.75,5,0.16851851851851854,0.46247812043477676,0.4260816961526871,0.0817220279290335
0.5,Hybrid,0.0,20,0.15439616598504724,0.26989317871670815,0.5861851303441707,0.0803837436393631
0.5,QueryDecomp,0.7,6,0.12961679628346298,0.4116919191919192,0.4548161387443542,0.10227750907271313
0.6,Baseline,1.0,0,,,0.4260816961526871,0.0817220279290335
0.6,Hybrid,0.65,7,0.16473990575373063,0.2831176759748188,0.5861851303441707,0.0803837436393631
0.6,QueryDecomp,0.9,2,0.403183023872679,0.38636363636363635,0.453381335735321,0.09383249540333354
0.7,Baseline,1.0,0,,,0.4260816961526871,0.0817220279290335
0.7,Hybrid,0.85,3,0.25919098822324627,0.26129426129426125,0.5861851303441707,0.0803837436393631
0.7,QueryDecomp,1.0,0,,,0.4571114033460617,0.10610686311066721
0.8,Baseline,1.0,0,,,0.4260816961526871,0.0817220279290335
0.8,Hybrid,1.0,0,,,0.5861851303441707,0.0803837436393631
0.8,QueryDecomp,1.0,0,,,0.45615758299827575,0.10219521293674382
